0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:46 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:46 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:51:49 -0400] "POST /servletlabs-3/search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:52:55 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:52:58 -0400] "POST /servletlabs-3/search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:53:33 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:53:33 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:53:33 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:53:34 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:53:34 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:53:34 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:53:34 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:53:34 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:53:34 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:53:34 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:53:54 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:54:19 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
