0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:54 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:54 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:54 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:54 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:55 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:55 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:56 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:56 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:56 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:56 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:57 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:57 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:57 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:57 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:57 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:28:57 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
